id,question
133,What are the reported patient outcomes following procedures performed by Dr. Bose?
133,Is Dr. Bose available for consultations with foreign patients at Apollo Speciality Hospital?
133,Does Dr. Bose provide complete operation reports to his patients after surgery?
134,What type of hip prosthesis does Dr. Raj D. Chakravarthy use for hip replacement surgery?
134,Where is Dr. Raj D. Chakravarthy's practice located?
134,Can you provide the contact phone number for Dr. Raj D. Chakravarthy's office?
134,Is there any information regarding patient-reported outcomes for surgeries performed by Dr. Raj D. Chakravarthy?
134,What hospital is Dr. Raj D. Chakravarthy affiliated with?
135,What is Dr. Kaushal C. Malhan's experience with hip resurfacing procedures in Mumbai?
135,Can you provide details about the types of hip prosthesis that Dr. Malhan uses during surgery?
135,What are the patient-reported outcomes observed after surgeries performed by Dr. Malhan?
135,"Where is Dr. Malhan's practice located, and what are his contact details?"
135,Does Dr. Malhan have any specific techniques for hip surgeries that differentiate him from other surgeons?
136,What type of hip replacement prosthesis does Dr. Sanjiv Manjure use for his surgeries?
136,Can you provide information about the patient-reported outcomes for surgeries performed by Dr. Manjure?
136,"Is Dr. Manjure located in India, and what is the address of his practice?"
136,What is the contact email for Dr. Sanjiv Manjure if I have further questions?
136,Does Dr. Manjure perform surgeries for foreign patients?
137,What specific type of hip prosthesis does Dr. Sanjiv K.S. Marya use for surgeries?
137,Can I contact Dr. Marya directly via email to discuss my treatment options?
137,What is the address of the Max Institute of Orthopaedics & Joint Replacement Surgery where Dr. Marya practices?
137,Are there any reported complications from patients who have undergone surgery with Dr. Marya?
137,What is the average experience of Dr. Marya in performing hip replacement surgeries?
138,What is the address of Raj Orthopaedic Hospital where Dr. Shyamlal R. Mukhi practices?
138,Are there any positive outcomes reported by patients of Dr. Mukhi?
138,What city is Dr. Mukhi located in?
138,What is the contact phone number for Dr. Mukhi's hospital?
138,Does Dr. Mukhi treat foreign patients?
139,What is the average number of hip resurfacing surgeries performed by Dr. Ameet Pispati?
139,Can you provide more details on the type of hip resurfacing prosthesis used by Dr. Ameet Pispati?
139,Is Dr. Ameet Pispati experienced in treating foreign patients for hip surgeries?
139,"What hospital is Dr. Ameet Pispati affiliated with in Mumbai, India?"
139,"How can I contact Dr. Ameet Pispati directly, including his email and phone number?"
140,What is Dr. P.K. Ranjit's specialty and experience in hip surgeries?
140,Which type of hip prosthesis does Dr. Ranjit use for his operations?
140,Can I get a copy of the complete operation report after my surgery with Dr. Ranjit?
140,Are there any patient-reported positive outcomes or complications associated with Dr. Ranjit's procedures?
140,"What is the address of Dr. Ranjit's practice in Kochi, India?"
141,What is Dr. C.J. Thakkar's professional background and experience in hip surgeries?
141,Can you provide details about the types of prostheses used by Dr. Thakkar in hip replacement procedures?
141,What is the location and address of Dr. C.J. Thakkar's clinic in Mumbai?
141,What are Dr. Thakkar's patient-reported outcomes and complication rates based on available data?
141,How can I contact Dr. C.J. Thakkar for an appointment or consultation?
142,What is Dr. Jai Thilak's location and the name of the medical facility where he practices?
142,Has Dr. Jai Thilak reported any positive outcomes from his surgeries?
142,What is the address of Amrita Institute of Medical Sciences where Dr. Thilak works?
142,Does Dr. Jai Thilak have any listed phone numbers for contacting him or his office?
142,Can I find more information about Dr. Jai Thilak and his services on a website?
143,What is Dr. S.G. Thirumalaisamy's experience with hip surgeries in Coimbatore?
143,Can you provide information about the types of prosthesis used by Dr. Thirumalaisamy?
143,How can I contact Dr. Thirumalaisamy directly in case I have specific queries?
143,What is the complete address of Dr. Thirumalaisamy's practice?
143,Are there any testimonials or reports from patients regarding their outcomes after surgery with Dr. Thirumalaisamy?
144,What is Dr. A.K. Venkatachalam's experience with hip replacement surgeries?
144,Does Dr. Venkatachalam report patient-reported positive outcomes for his procedures?
144,What is the address of Dr. A.K. Venkatachalam's clinic in Chennai?
144,"Can I contact Dr. Venkatachalam by email, and what is his email address?"
144,What is the phone number for scheduling an appointment with Dr. A.K. Venkatachalam?
145,What types of joint replacement prosthesis does Dr. Kaar specialize in?
145,How does Dr. Kaar handle patient complications based on their reported outcomes?
145,What operational techniques does Dr. Kaar use for hip surgeries?
145,Is Dr. Kaar experienced in performing surgeries for foreign patients?
145,"What facility does Dr. Kaar operate out of in Galway, Ireland?"
146,What is Dr. Paul Nicholson's location of practice?
146,Can you provide details about the patient-reported outcomes for surgeries done by Dr. Paul Nicholson?
146,Is there a phone number available to contact Dr. Paul Nicholson's office?
146,What type of surgery can I get from Dr. Paul Nicholson at the Black Rock Clinic?
146,How can I reach Dr. Paul Nicholson via email?
147,What type of hip replacement prosthesis does Dr. Tadgh O’Sullivan use for surgeries?
147,Can you tell me if Dr. O'Sullivan has reported any patient complications after his surgeries?
147,Is there any information on the average size and location of the hip replacements performed by Dr. O’Sullivan?
147,Does Dr. O’Sullivan provide a complete operation report after the procedure?
147,Is Dr. O’Sullivan's practice based in a specific city or is it located in the entire country of Ireland?
148,What is Dr. Daniel Levin's average experience in performing hip replacement surgeries?
148,Can you tell me about the type of hip prosthesis that Dr. Levin uses for his surgeries?
148,Does Dr. Levin's practice cater to foreign patients?
148,What is the address of Dr. Daniel Levin's practice?
148,What are the patient-reported outcomes from Dr. Levin's surgeries?
149,What are the types of hip replacement prostheses that Dr. Steven Velkes uses?
149,Can you provide the contact information for Dr. Steven Velkes at Rabin Medical Center?
149,How many hip replacement surgeries has Dr. Steven Velkes performed as of December 2009?
149,What city and country is Dr. Steven Velkes located in?
149,Are there any patient-reported positive outcomes for surgeries performed by Dr. Steven Velkes?
150,What country is Dr. Motomi Ishibe based in as an orthopedic surgeon?
150,What is the contact email for Dr. Motomi Ishibe's clinic?
150,Can you provide the standard phone number to reach Dr. Motomi Ishibe?
150,Does Dr. Motomi Ishibe report positive outcomes from patients?
150,What is the website for Dr. Motomi Ishibe's practice?
151,What type of hip resurfacing prosthesis does this surgeon use?
151,In which city and country is this orthopedic surgeon located?
151,Are there any patient-reported positive outcomes from surgeries performed by this doctor?
151,What surgical technique and anesthesia does this surgeon utilize for operations?
151,Is there information available regarding complications from surgeries performed by this surgeon?
152,What types of hip prosthesis does Dr. Richard Bimmel specialize in for hip replacement surgeries?
152,Can you tell me about the patient-reported outcomes associated with Dr. Bimmel's surgeries?
152,"Does Dr. Bimmel perform two-sided hip operations, and if so, what is the standard interval between them?"
152,"Is Dr. Richard Bimmel able to treat foreign patients, and what is the location of his practice?"
152,"What is the contact information for Dr. Bimmel's office, including the address and phone number?"
153,What types of hip prostheses does Dr. Paul Bom use in his surgeries?
153,Can you tell me about the patient-reported outcomes after surgery with Dr. Paul Bom?
153,"Where is Dr. Paul Bom's practice located, specifically the address?"
153,How many hip surgeries has Dr. Paul Bom performed in his career?
153,What is the contact information for scheduling an appointment with Dr. Paul Bom?
154,What specific type of hip replacement prosthesis does Dr. Eric Breemans use for surgeries?
154,Can you provide the address of where Dr. Eric Breemans practices?
154,What is the average number of hip replacements performed by Dr. Eric Breemans?
154,How can I contact Dr. Eric Breemans via email for inquiries?
154,In which city and country is Dr. Eric Breemans based?
155,What type of hip prosthesis does Dr. Dartée use for surgeries?
155,Can you provide details about the outcomes reported by patients after surgeries performed by Dr. Dartée?
155,What is the address of Dr. Dartée's practice in Den Bosch?
155,What is the normal contact phone number for Dr. Dartée's office?
155,Is there an email address to contact Dr. Dartée for inquiries?
156,What type of hip replacement prosthesis does Dr. F.R.A.J. de Meulemeester use?
156,Can you provide the address of Dr. de Meulemeester's practice in Amsterdam?
156,Is there any information on patient-reported complications for Dr. de Meulemeester?
156,What anesthetic technique is used by Dr. de Meulemeester during surgery?
156,How can I contact Dr. de Meulemeester's office for inquiries?
157,What is Dr. Jan de Waal Malefijt's experience with hip replacement surgeries?
157,How are the patient-reported outcomes for Dr. Jan de Waal Malefijt's surgeries?
157,Does Dr. Jan de Waal Malefijt provide complete operation reports after surgery?
157,What anesthetic methods does Dr. Jan de Waal Malefijt use during procedures?
157,Are there any complications reported by patients treated by Dr. Jan de Waal Malefijt?
158,What type of hip replacement prosthesis does Dr. Henk J. Hoekstra use?
158,In which city is Dr. Henk J. Hoekstra's practice located?
158,Can you provide the contact phone number for Dr. Henk J. Hoekstra's office?
158,What hospital is Dr. Henk J. Hoekstra affiliated with?
158,Does Dr. Henk J. Hoekstra report positive outcomes from patients?
159,What is Dr. Igor Jansen's surgical specialty and experience with hip replacement surgeries?
159,Can you provide details about the type of hip joint prosthesis Dr. Jansen uses in his surgeries?
159,"Is Dr. Jansen’s clinic in Goes, Netherlands, equipped to accommodate foreign patients?"
159,What can I expect in terms of postoperative care and complications when treated by Dr. Jansen?
159,How can I contact Dr. Jansen's office for more information or to schedule a consultation?
160,What type of hip prosthesis does Dr. S.B. Keizer use in surgeries?
160,How many hip replacements has Dr. S.B. Keizer performed in total?
160,Is Dr. S.B. Keizer able to treat foreign patients?
160,Can I get in touch with Dr. S.B. Keizer at MC Haaglanden by email?
160,What is the average location for Dr. S.B. Keizer's hip replacements?
161,What type of hip prosthesis does Dr. H. Lacroix use for hip replacements?
161,Does Dr. H. Lacroix provide a complete operation report after surgery?
161,Where is Dr. H. Lacroix's clinic located?
161,What are the patient-reported outcomes from surgeries performed by Dr. H. Lacroix?
161,How can I contact Dr. H. Lacroix's office for inquiries?
162,What type of hip prosthesis does Dr. H.I.H. Lampe use for hip replacements?
162,Is Dr. Lampe experienced in treating foreign patients?
162,What is the address of Dr. H.I.H. Lampe's clinic in Spijkenisse?
162,Can Dr. Lampe assess X-rays for hip replacement patients?
162,Is there any information on patient-reported outcomes for Dr. Lampe's surgeries?
163,What is the specific type of hip replacement prosthesis that Dr. P.R.J.M. Middendorf uses?
163,Can you provide the address of Dr. P.R.J.M. Middendorf's practice?
163,What is Dr. P.R.J.M. Middendorf's phone number for regular inquiries?
163,Are there any reported positive outcomes from patients treated by Dr. P.R.J.M. Middendorf?
163,Is there a homepage where I can find more information about Dr. P.R.J.M. Middendorf and his services?
164,What type of hip joint prosthesis does Dr. K. Pittoors typically use during surgeries?
164,In which city and country is Dr. K. Pittoors' practice located?
164,Can I find patient-reported outcomes or complications related to Dr. Pittoors' surgeries?
164,What is the contact number for scheduling an appointment with Dr. K. Pittoors?
164,Is there any information available about the operational technique Dr. Pittoors employs?
165,What type of hip replacement prosthesis does Dr. N.C. Schepel use for his surgeries?
165,Can you provide the address of Dr. N.C. Schepel's practice?
165,What information do you have on patient-reported outcomes for Dr. N.C. Schepel?
165,Is there any detail about the operational technique employed by Dr. N.C. Schepel during surgeries?
165,What is the contact phone number for Dr. N.C. Schepel's office in Eindhoven?
166,What type of hip prosthesis does Dr. M.J.G.M. Speth use for hip replacements?
166,Can you provide the contact details for Dr. M.J.G.M. Speth's practice?
166,Is there any reported positive outcome from patients who have undergone surgery with Dr. M.J.G.M. Speth?
166,What is the location of Dr. M.J.G.M. Speth's clinic?
166,Does Dr. M.J.G.M. Speth have information available on complications from surgeries?
167,What type of hip replacement prosthesis does Dr. J.R.W. ten Kate use for surgeries?
167,"How can I contact Dr. ten Kate's office in Spijkenisse, Netherlands?"
167,Does Dr. ten Kate work with foreign patients for hip surgeries?
167,Are there any documented patient-reported positive outcomes from Dr. ten Kate's treatments?
167,Does Dr. ten Kate assess x-rays as part of the pre-operative process?
168,What is Dr. R.E. van der Flier's approach to using the ASR prosthesis for hip replacements?
168,How many total hip replacements has Dr. van der Flier performed in the past?
168,Can Dr. van der Flier provide any information about patient-reported outcomes after surgery?
168,Does Dr. van der Flier accept foreign patients for hip surgery at MC Haaglanden?
168,Is there a specific surgical technique that Dr. van der Flier employs for hip replacements?
169,What is the total number of hip replacement surgeries performed by Dr. C.P. van der Hart?
169,Can you provide details on the types of hip replacement prostheses that Dr. van der Hart uses?
169,Is Dr. van der Hart open to treating foreign patients?
169,What anesthetic methods does Dr. van der Hart typically use during surgery?
169,Where is Dr. van der Hart's practice located in Amsterdam?
170,What type of hip replacement prosthesis does Dr. Frans M.M. van Empel use for surgeries?
170,"Can foreign patients seek treatment from Dr. van Empel at the Oosterscheldeziekenhuis in Goes, Netherlands?"
170,Is there a standard procedure for assessing X-rays before my operation with Dr. van Empel?
170,What is the address of Dr. van Empel's practice?
170,Has Dr. van Empel reported any patient complications following surgeries?
171,What type of hip prosthesis does Dr. A.J. van Erp typically use for surgeries?
171,Is Dr. A.J. van Erp affiliated with any specific hospital or medical center?
171,Can you provide information about the location of Dr. A.J. van Erp's practice?
171,Does Dr. A.J. van Erp have any reported complications from surgeries?
171,What is the contact information for Dr. A.J. van Erp's office?
172,What type of hip replacement prosthesis does Dr. M.R. Veen use in his surgeries?
172,In which city is Dr. M.R. Veen's practice located?
172,What is the contact phone number for Dr. M.R. Veen's office?
172,Does Dr. M.R. Veen report any positive outcomes from his patients?
172,What hospital is Dr. M.R. Veen affiliated with?
173,What type of hip replacement prosthesis does Dr. Jan Verhaar use?
173,Where is Dr. Jan Verhaar's practice located?
173,Does Dr. Jan Verhaar have a history of patient-reported positive outcomes?
173,Is Dr. Jan Verhaar able to treat foreign patients?
173,What is the contact phone number for Dr. Jan Verhaar?
174,What type of hip replacement prosthesis does Dr. J.L.A. Westerink use?
174,Is Dr. Westerink available for foreign patients seeking treatment?
174,"Can I find Dr. Westerink's practice in Rotterdam, and what is the address?"
174,What method does Dr. Westerink use to assess x-rays during the treatment process?
174,What is the phone number to contact Dr. Westerink's office at Medisch Centrum Rijnmond-Zuid?
175,What is Dr. H.J.J. Zwart's location for practice in the Netherlands?
175,Can you provide the contact phone number for Dr. H.J.J. Zwart?
175,Does Dr. H.J.J. Zwart report positive outcomes from his patients?
175,What is the name of the medical center where Dr. H.J.J. Zwart works?
175,Is there any information available about the types of prostheses used by Dr. H.J.J. Zwart?
176,What type of hip replacement prosthesis does Dr. Hugh R.L. Blackley use?
176,Where is Dr. Hugh R.L. Blackley's practice located?
176,Can you provide the contact number for Dr. Hugh R.L. Blackley?
176,Does Dr. Hugh R.L. Blackley have experience with foreign patients?
176,Are there any patient-reported complications associated with Dr. Hugh R.L. Blackley's surgeries?
177,What type of hip replacement prosthesis does Dr. William J. Farrington use?
177,Can you confirm if Dr. Farrington has any reported positive outcomes from his patients?
177,"Is Dr. Farrington located in North Shore City, New Zealand?"
177,What is the contact phone number for Dr. William J. Farrington's office?
177,Does Dr. Farrington provide a complete operation report to patients?
178,What is Dr. Rocco P. Pitto's operational technique for hip surgeries?
178,"Is Dr. Pitto's clinic located in Manukau City, New Zealand?"
178,How can I contact Dr. Pitto if I have questions about my surgery?
178,Does Dr. Pitto provide complete operation reports after surgeries?
178,What are the reported outcomes from patients treated by Dr. Pitto?
179,What is Dr. Roelf Bierling's surgical experience with hip replacements?
179,Can you provide details about the type of hip replacement prosthesis Dr. Bierling typically uses?
179,What are the patient-reported outcomes for surgeries performed by Dr. Bierling?
179,Is Dr. Bierling's clinic open to foreign patients seeking hip surgery?
179,"How can I contact Dr. Bierling's office for an appointment in Hagavik, Norway?"
180,What type of hip replacement prosthesis does Dr. Pål Borgen use for his operations?
180,What is the address of Martina Hansens Hospital where Dr. Borgen practices?
180,Can you tell me the city and country where Dr. Pål Borgen is located?
180,Has Dr. Borgen received any patient-reported positive outcomes?
180,What is the contact phone number for Dr. Pål Borgen's office?
181,What type of hip replacement prosthesis does Dr. Tore Jervidalo use?
181,What is the average location for hip replacement surgeries performed by Dr. Jervidalo?
181,Is there any information available regarding patient-reported outcomes after surgery with Dr. Tore Jervidalo?
181,Can you provide the contact details for Dr. Jervidalo's practice?
181,Where is Dr. Tore Jervidalo's clinic located in Norway?
182,What type of hip replacement prosthesis does Dr. Steffan Röhrl use?
182,Can you provide the address of Dr. Röhrl's clinic in Oslo?
182,What is Dr. Röhrl's contact phone number for inquiries?
182,Are there any reported complications from patients treated by Dr. Röhrl?
182,Is Dr. Röhrl able to accommodate foreign patients for hip surgeries?
183,What type of hip resurfacing prosthesis does Dr. Finnur Snorrason use?
183,Can you confirm Dr. Snorrason's location and contact details for scheduling an appointment?
183,What are the reported outcomes for patients treated by Dr. Snorrason?
183,Does Dr. Snorrason have experience treating foreign patients?
183,Is there a homepage or website where I can find more information about Dr. Snorrason's practice?
184,What types of hip replacement prostheses does Dr. Jacek Laskowski use for surgeries?
184,Is Dr. Jacek Laskowski able to perform surgeries for foreign patients in Warsaw?
184,What specific types of hip resurfacing prosthesis does Dr. Laskowski specialize in?
184,Can you provide the contact information for Dr. Jacek Laskowski at Carolina Medical Center?
184,What are the average sizes and locations for hip resurfacing surgery performed by Dr. Laskowski?
185,What type of hip prosthesis does Dr. Dominic Meek use for hip replacements?
185,Can you provide the location of Dr. Meek's practice?
185,Does Dr. Meek have experience with complications post-surgery?
185,What is Dr. Meek's contact email for inquiries?
185,Is there a report provided after the operation regarding the procedure?
186,What is the address of Dr. Shamal Das De's practice in Singapore?
186,Can I contact Dr. Shamal Das De by email for inquiries about hip surgery?
186,What feedback do patients report regarding their outcomes after surgery with Dr. Shamal Das De?
186,Where is Dr. Shamal Das De's clinic located in Singapore?
186,What is the phone number to reach Dr. Shamal Das De's office for appointment scheduling?
187,What is Dr. Wilson Wang's specialty and experience in orthopedic surgery?
187,Can you provide details about the outcomes and complications reported by patients of Dr. Wang?
187,Where is Dr. Wilson Wang's practice located in Singapore?
187,What are the types of hip replacement prostheses that Dr. Wang uses?
187,How can I contact Dr. Wang's office for inquiries or appointments?
188,What type of hip replacement prosthesis does Dr. Spike P.J. Erasmus use?
188,Where is Dr. Spike P.J. Erasmus's clinic located?
188,What is the phone number to contact Dr. Spike P.J. Erasmus's office?
188,Can you provide information on the patient-reported outcomes for Dr. Spike P.J. Erasmus's surgeries?
188,Does Dr. Spike P.J. Erasmus accept foreign patients for hip surgery?
189,What is Dr. Adriaan L. van Huyssteen's approach to hip surgery?
189,Can you provide details about the type of prosthesis Dr. van Huyssteen uses for hip replacements?
189,"What is the location of Dr. van Huyssteen's practice in Panorama, South Africa?"
189,Does Dr. van Huyssteen have experience with foreign patients seeking hip surgery?
189,What kind of anesthesia does Dr. van Huyssteen typically use during procedures?
190,What is Dr. Leith Stewart's experience with hip replacements since he has completed 300 surgeries?
190,Can you provide more details about the patient-reported positive outcomes associated with Dr. Stewart?
190,"Is Dr. Stewart's practice located in Claremont, South Africa, and what is the address?"
190,What phone number can I use to contact Dr. Leith Stewart's office for inquiries?
190,Is there any information available on the types of prostheses used by Dr. Stewart in his surgeries?
191,What types of hip prostheses do you use in your surgeries?
191,Can you explain your experience with minimally invasive surgical techniques?
191,Where is your practice located in Johannesburg?
191,Do you provide a complete operation report after the procedure?
191,How many hip replacement surgeries have you performed in total?
192,What type of hip replacement prosthesis does Dr. Eric Breemans use?
192,Can you provide patient-reported outcomes for Dr. Breemans' surgeries?
192,Where is Dr. Eric Breemans' clinic located?
192,How can I contact Dr. Breemans' clinic for more information?
192,Does Dr. Breemans operate on foreign patients?
193,What type of hip prosthesis does Dr. Giorgios Digas typically use?
193,How many hip replacement surgeries has Dr. Digas performed?
193,What is Dr. Digas's approach to anesthesia during surgery?
193,Are there any reported complications associated with surgeries performed by Dr. Digas?
193,What city and address can I find Dr. Giorgios Digas for a consultation?
194,What type of prosthesis does Dr. Gunnar Flivik use for hip replacements?
194,Is there a record of any positive outcomes reported by patients after surgery with Dr. Flivik?
194,What is Dr. Flivik's practice location and contact information?
194,"Can Dr. Flivik assess X-rays, and does he provide a complete operation report after surgery?"
194,What is the specific type of hip replacement procedure that Dr. Flivik specializes in?
195,What city is Dr. Bo Granath located in?
195,What type of outcomes have been reported by patients after surgery with Dr. Granath?
195,Is there a complete operation report provided after surgery with Dr. Granath?
195,What is the address of Dr. Bo Granath's practice?
195,Can you provide information about the complications reported by patients after procedures with Dr. Granath?
196,What is Dr. Olle Gremark's experience as an orthopedic surgeon since he adjusted in 2007?
196,Can you tell me more about the hospital where Dr. Gremark practices in Örebro?
196,Does Dr. Gremark have any reported patient complications or outcomes from his surgeries?
196,Is there a way to contact Dr. Gremark directly via email for consultations?
196,"What kind of joint operations does Dr. Gremark perform, and are there any specific prosthesis types he uses?"
197,What type of hip replacement prosthesis does Dr. Torsten Havdrup use?
197,Can you provide the contact number for scheduling an appointment with Dr. Havdrup?
197,In which city and country is Dr. Havdrup's practice located?
197,What should I know about Dr. Havdrup's patient-reported outcomes?
197,Is Dr. Havdrup still practicing as an orthopedic surgeon?
198,What types of hip prosthesis does Dr. Håkan Hedlund use in his procedures?
198,Can you provide details regarding the complications reported by patients of Dr. Hedlund?
198,Where is Dr. Håkan Hedlund's clinic located in Stockholm?
198,What is Dr. Håkan Hedlund's contact information for scheduling an appointment?
198,Does Dr. Håkan Hedlund accept foreign patients for hip surgeries?
199,What types of hip replacement prostheses does Dr. Urban Hedlundh use in his procedures?
199,How many hip replacement surgeries has Dr. Hedlundh performed?
199,"What is the address of Dr. Hedlundh's practice in Uddevalla, Sweden?"
199,What city and country is Dr. Hedlundh located in?
199,What is the phone number to contact Dr. Urban Hedlundh's office?
200,What is Dr. Hans Christian Hyldahl's experience with ASR hip replacements?
200,Can you provide information about the complications reported by patients treated by Dr. Hyldahl?
200,Where is Dr. Hyldahl's clinic located in Stockholm?
200,What type of anesthesia is typically used by Dr. Hyldahl during surgeries?
200,Is there a way to schedule a consultation with Dr. Hyldahl?
201,What is Dr. Raed Itayem's approach to using BHR hip prosthesis in surgeries?
201,Can you provide information about Dr. Raed Itayem's experience and patient outcomes?
201,What city in Sweden is Dr. Raed Itayem based in for his orthopedic practice?
201,Are there any documented complications reported by patients of Dr. Raed Itayem?
201,How does Dr. Raed Itayem ensure that the joint capsule is handled during surgery?
202,What type of hip replacement prosthesis does Dr. Uldis Kesteris use for surgery?
202,"Can you provide the address of Dr. Kesteris's practice in Lund, Sweden?"
202,What specific cement is used for the femur in Dr. Kesteris's procedures?
202,Does Dr. Kesteris offer operations for foreign patients?
202,What is Dr. Uldis Kesteris's email address for inquiries?
203,What type of hip prosthesis does Dr. Johan Kärrholm use for surgery?
203,Where is Dr. Johan Kärrholm's practice located in Sweden?
203,What is Dr. Johan Kärrholm's contact email for inquiries?
203,How can I reach Dr. Johan Kärrholm by phone?
203,Does Dr. Johan Kärrholm report any positive patient outcomes after surgeries?
204,What type of hip replacement prosthesis does Dr. Dan Linvik use for surgeries?
204,"What is the address where Dr. Dan Linvik practices in Ljungby, Sweden?"
204,Can I reach Dr. Dan Linvik by email if I have further questions?
204,Has Dr. Dan Linvik received any patient-reported positive outcomes after his surgeries?
204,Is there any information available about complications from surgeries performed by Dr. Dan Linvik?
205,What is the city and country where Dr. Arne Lundberg practices?
205,Can you provide information about the types of prosthesis Dr. Arne Lundberg uses for hip replacements?
205,What operational techniques does Dr. Arne Lundberg specialize in?
205,How does Dr. Arne Lundberg fare in patient-reported outcomes and complications?
205,What kind of anesthetic does Dr. Arne Lundberg apply during surgeries?
206,What types of hip prosthesis options does Dr. Milbrink use for surgery?
206,What is the typical duration of a hospital stay after surgery performed by Dr. Milbrink?
206,"Does Dr. Milbrink perform bilateral hip replacements, and if so, what is the interval between procedures?"
206,What kind of anesthesia does Dr. Milbrink use during hip surgeries?
206,Can I contact Dr. Milbrink directly via email for any questions regarding my upcoming surgery?
207,What is Dr. Lars Nistor's location of practice?
207,What is the contact phone number for Dr. Nistor's office?
207,What city does Dr. Lars Nistor practice in?
207,Are there any patient-reported positive outcomes from Dr. Nistor's surgeries?
207,What is the website for Dr. Nistor's orthopedic practice?
208,What is Dr. Ulf Nyberg's location and how can I contact the office directly for an appointment?
208,What type of prosthesis does Dr. Ulf Nyberg use for hip replacements?
208,Can you provide information on the average outcomes for patients treated by Dr. Ulf Nyberg?
208,Is there any available data on Dr. Ulf Nyberg's patient-reported complications or postoperative results?
208,Does Dr. Ulf Nyberg accept foreign patients for hip surgery?
209,What type of hip replacement prosthesis does Dr. Jörgen Olofsson use?
209,In which city and country is Dr. Olofsson's practice located?
209,What type of anesthesia is administered during procedures performed by Dr. Olofsson?
209,Are there any reported complications from patients who have undergone surgery with Dr. Olofsson?
209,What is the contact number for Dr. Olofsson's office?
210,What type of hip replacement prosthesis does Dr. Björn Skytting use for surgeries?
210,Can you provide more details about the complications that patients have reported with Dr. Skytting's procedures?
210,"What is Dr. Skytting's clinic address in Stockholm, Sweden?"
210,What are the patient-reported outcomes following surgeries performed by Dr. Skytting?
210,Is Dr. Skytting accepting foreign patients for his orthopedic services?
211,What city is Dr. Martin Sundberg located in?
211,Can I contact Dr. Sundberg by email?
211,What is the phone number for Dr. Sundberg's office?
211,Where is Dr. Sundberg's clinic situated?
211,Is there any information on patient-reported outcomes for Dr. Sundberg?
212,What is Dr. Kent Sundgren's location and contact information?
212,Does Dr. Sundgren have experience with hip replacement surgeries?
212,What types of prostheses does Dr. Sundgren use for hip replacements?
212,What are the patient-reported outcomes for surgery conducted by Dr. Sundgren?
212,Is there a possibility for foreign patients to receive treatment from Dr. Sundgren?
213,What type of hip replacement prosthesis does Dr. Lars Weidenhielm use?
213,Are there any reported complications from Dr. Lars Weidenhielm's surgeries?
213,"What city is Dr. Lars Weidenhielm located in, and where does he practice?"
213,What is the contact email for Dr. Lars Weidenhielm?
213,What is the phone number to reach Dr. Lars Weidenhielm's office?
214,What type of hip replacement prosthesis does Dr. Mats Wilhelmsson use for hip resurfacing?
214,In which city and country is Dr. Mats Wilhelmsson's practice located?
214,Can you provide the address of Dr. Mats Wilhelmsson's clinic?
214,Are there any reported complications from patients who have undergone surgery with Dr. Mats Wilhelmsson?
214,Does Dr. Mats Wilhelmsson offer services for foreign patients?
215,What type of hip prosthesis does Dr. Wretenberg use in his surgeries?
215,Can you tell me if Dr. Wretenberg has reported any patient complications related to his procedures?
215,Is Dr. Wretenberg currently accepting foreign patients for hip surgery at Karolinska Universitetsjukhuset?
215,"What city is Dr. Wretenberg's practice located in, and what is the postal code?"
215,How can I contact Dr. Wretenberg directly via email or phone?
216,What is the doctor's name and specialization?
216,What is the location of this orthopedic surgeon's practice?
216,"Can I contact the surgeon's office directly, and what is the phone number?"
216,What is the email address for scheduling appointments with the orthopedic surgeon?
216,Are there any patient-reported outcomes or complications associated with this doctor?
217,What type of hip prosthesis does Dr. Stig-Eric Åström use for his surgeries?
217,Can you provide the contact details for scheduling an appointment with Dr. Åström in Norrköping?
217,Does Dr. Åström have any patient-reported positive outcomes from previous surgeries?
217,Which anesthesia method is used during surgeries performed by Dr. Åström?
217,What is the average location of the hip resurfacing performed by Dr. Åström?
218,What type of hip replacement prosthesis does Dr. Yvan Arlettaz use?
218,Can you tell me the location of Dr. Yvan Arlettaz's practice?
218,Does Dr. Yvan Arlettaz have any patient-reported positive outcomes?
218,What is the contact phone number for Dr. Yvan Arlettaz's office?
218,Is there any information available about the anesthesia used during procedures by Dr. Yvan Arlettaz?
219,What type of hip replacement prosthesis does Dr. Richard Gambirasio use?
219,What city and country is Dr. Richard Gambirasio located in?
219,Can you provide the contact phone number for Dr. Richard Gambirasio's office?
219,Is there any information on patient-reported outcomes for Dr. Richard Gambirasio?
219,What is the address of Dr. Richard Gambirasio's practice?
220,What specific type of hip replacement does Dr. Otmar Hersche perform?
220,Can I find out the exact address and contact details for Dr. Otmar Hersche's practice?
220,Is there any patient-reported feedback about Dr. Hersche's outcomes after surgery?
220,What city and country is Dr. Otmar Hersche located in?
220,Does Dr. Hersche perform surgeries for foreign patients?
221,What type of hip prosthesis does Dr. Patrick Holzmann use for surgeries?
221,How can I contact Dr. Patrick Holzmann's office in Wädenswil?
221,Is Dr. Patrick Holzmann known for any patient-reported positive outcomes?
221,What is the address of Dr. Patrick Holzmann's practice?
221,What is the phone number for Dr. Patrick Holzmann's office?
222,What type of hip resurfacing prosthesis does Dr. Thomas Hug use?
222,Where is Dr. Thomas Hug's practice located?
222,What are the patient-reported outcomes for Dr. Thomas Hug's surgeries?
222,What is the contact phone number for Dr. Thomas Hug's office?
